순위,코드/티커,종목명,시장,배율,현재가,거래량,거래대금,1W(%),2W(%),1M(%),3M(%),6M(%),1Y(%),3Y(%)
1047,427120,RISE AI플랫폼,K Market,1X,5040.0,814,4000000.0,,,,-8.53,,,
1048,491630,RISE 미국반도체인버스(합성 H),K Market,-1X,5100.0,938,4000000.0,-7.27,-3.23,-5.38,11.35,-49.18,-66.38,
1049,373490,KODEX 코리아혁신성장액티브,K Market,1X,24965.0,184,4000000.0,,,,-26.0625,,,
1050,371870,ACE 차이나항셍테크,K Market,1X,6510.0,665,4000000.0,,,,-12.6761,,,
1051,0114X0,RISE 글로벌게임테크TOP3Plus,K Market,1X,9055.0,482,4000000.0,,,,6.9067,,,
1052,0214M0,MIDAS 바이오헬스케어액티브,K Market,1X,9515.0,428,4000000.0,,,,,,,
1053,461460,PLUS 국고채10년액티브,K Market,1X,50955.0,92,4000000.0,,,,-1.5553,,,
1054,304760,HANARO KRX300,K Market,1X,47750.0,64,3000000.0,,,,-23.89,,,
1055,291130,ACE MSCI멕시코(합성),K Market,1X,17585.0,200,3000000.0,,,,-12.8377,,,
1056,453660,KODEX 미국S&P500경기소비재,K Market,1X,16640.0,216,3000000.0,,,,-12.2924,,,
1057,289040,KODEX MSCI KOREA ESG유니버설,K Market,1X,33930.0,110,3000000.0,,,,-22.4358,,,
1058,261920,ACE MSCI필리핀(합성),K Market,1X,11880.0,330,3000000.0,,,,-16.0128,,,
1059,225060,TIGER 이머징마켓MSCI레버리지(합성 H),K Market,2X,16825.0,195,3000000.0,5.16,-2.63,1.23,-8.34,29.82,69.08,131.97
1060,452250,ACE 미국30년국채선물레버리지(합성 H),K Market,2X,4625.0,761,3000000.0,1.87,-1.91,-2.01,-10.71,-12.24,-16.18,-38.14
1061,442090,에셋플러스 코리아대장장이액티브,K Market,1X,30205.0,112,3000000.0,,,,-18.4311,,,
1062,0047N0,PLUS 차이나AI테크TOP10,K Market,1X,9300.0,329,3000000.0,,,,-13.7292,,,
1063,375270,RISE 글로벌데이터센터리츠(합성),K Market,1X,13580.0,276,3000000.0,,,,-20.3286,,,
